x_by_lambda_0  z_by_lambda_0  rel_err_db 
0.100000000000  0.100000000000  -280.623221794921  
0.100000000000  0.116895181650  -280.347078580396  
0.100000000000  0.136644834930  -279.283901286856  
0.100000000000  0.159731228006  -278.582660355617  
0.100000000000  0.186718109129  -277.320644392502  
0.100000000000  0.218264472840  -276.441822736534  
0.100000000000  0.255140652003  -275.186290545838  
0.100000000000  0.298247128622  -274.171297668800  
0.100000000000  0.348636522768  -272.975038123524  
0.100000000000  0.407539296587  -271.747859301441  
0.100000000000  0.476393801040  -270.697506807120  
0.100000000000  0.556881399095  -269.553079412615  
0.100000000000  0.650967523046  -268.442261719626  
0.100000000000  0.760949668546  -303.550477044328  
0.100000000000  0.889513497311  -308.533588944236  
0.100000000000  1.039798418481  -300.374781078921  
0.100000000000  1.215474250076  -306.899812030372  
0.100000000000  1.420830832534  -302.901868355667  
0.100000000000  1.660882782628  -298.700870382812  
0.100000000000  1.941491945744  -297.096701468214  
0.100000000000  2.269510536695  -300.427184798991  
0.100000000000  2.652948464432  -283.215514552480  
0.100000000000  3.101168926575  -283.144541721306  
0.100000000000  3.625117049989  -286.995964672046  
0.100000000000  4.237587160604  -284.960625772921  
0.100000000000  4.953535208959  -292.297689209071  
0.100000000000  5.790443980602  -254.485503832194  
0.100000000000  6.768750009459  -270.366940289634  
0.100000000000  7.912342618981  -280.417061142791  
0.100000000000  9.249147277217  -282.383236047549  
0.100000000000  10.811807510766  -278.783987194617  
0.100000000000  12.638482029343  -277.263848518579  
0.100000000000  14.773776525985  -275.237945271321  
0.100000000000  17.269832906594  -274.894723806759  
0.100000000000  20.187602546790  -275.564830655818  
0.100000000000  23.598334667822  -273.028141343346  
0.100000000000  27.585316176292  -272.669517934688  
0.100000000000  32.245905452964  -267.305167499006  
0.100000000000  37.693909753884  -270.224918195919  
0.100000000000  44.062364277736  -265.287317861632  
0.100000000000  51.506780761681  -261.851528632001  
0.100000000000  60.208944933361  -273.229185192808  
0.100000000000  70.381355549316  -262.919349145435  
0.100000000000  82.272413417005  -265.328877863913  
0.100000000000  96.172487111530  -257.837808081679  
0.100000000000  112.421003506209  -257.998724744035  
0.100000000000  131.414736261176  -255.848950005487  
0.100000000000  153.617494667183  -200.877728388353  
0.100000000000  179.571449437164  -231.241029483640  
0.100000000000  209.910372010855  -251.321113131473  
0.100000000000  245.375110663982  -248.786004478407  
0.100000000000  286.831681334201  -249.624724200161  
0.100000000000  335.292414924956  -247.931426595774  
0.100000000000  391.940677484722  -246.176704268839  
0.100000000000  458.159766905449  -245.848609127555  
0.100000000000  535.566691770690  -252.038495295546  
0.100000000000  626.051657201482  -238.076583256925  
0.100000000000  731.824221907617  -236.111451373999  
0.100000000000  855.467253556569  -240.883549043075  
0.100000000000  1000.000000000000  -232.870663484548  

0.116895181650  0.100000000000  -285.768414026126  
0.116895181650  0.116895181650  -304.685577259344  
0.116895181650  0.136644834930  -310.944606960490  
0.116895181650  0.159731228006  -305.868336546675  
0.116895181650  0.186718109129  -308.105234598566  
0.116895181650  0.218264472840  -308.072108555415  
0.116895181650  0.255140652003  -307.619699506518  
0.116895181650  0.298247128622  -308.939665660416  
0.116895181650  0.348636522768  -309.782859817426  
0.116895181650  0.407539296587  -304.036069007484  
0.116895181650  0.476393801040  -301.021505438896  
0.116895181650  0.556881399095  -295.126892293274  
0.116895181650  0.650967523046  -295.545852592812  
0.116895181650  0.760949668546  -294.266361198906  
0.116895181650  0.889513497311  -294.875563305083  
0.116895181650  1.039798418481  -304.415592621457  
0.116895181650  1.215474250076  -301.082701030103  
0.116895181650  1.420830832534  -303.152103548251  
0.116895181650  1.660882782628  -299.151497482848  
0.116895181650  1.941491945744  -301.417385381532  
0.116895181650  2.269510536695  -295.502195155294  
0.116895181650  2.652948464432  -292.346719969686  
0.116895181650  3.101168926575  -284.341927803014  
0.116895181650  3.625117049989  -283.906977000052  
0.116895181650  4.237587160604  -293.028593791650  
0.116895181650  4.953535208959  -291.760096494069  
0.116895181650  5.790443980602  -271.678908840521  
0.116895181650  6.768750009459  -282.803105534406  
0.116895181650  7.912342618981  -286.232316108263  
0.116895181650  9.249147277217  -289.782567937114  
0.116895181650  10.811807510766  -275.582083271065  
0.116895181650  12.638482029343  -296.044200387872  
0.116895181650  14.773776525985  -280.707643857566  
0.116895181650  17.269832906594  -286.299004845557  
0.116895181650  20.187602546790  -277.834235694625  
0.116895181650  23.598334667822  -269.351072111292  
0.116895181650  27.585316176292  -288.441139414131  
0.116895181650  32.245905452964  -276.550748253680  
0.116895181650  37.693909753884  -272.512376390329  
0.116895181650  44.062364277736  -267.130486865486  
0.116895181650  51.506780761681  -265.869455803424  
0.116895181650  60.208944933361  -261.373827423357  
0.116895181650  70.381355549316  -273.392990710611  
0.116895181650  82.272413417005  -269.307965199712  
0.116895181650  96.172487111530  -255.050115272570  
0.116895181650  112.421003506209  -256.190714904701  
0.116895181650  131.414736261176  -261.331705569667  
0.116895181650  153.617494667183  -265.520271920232  
0.116895181650  179.571449437164  -216.264512739741  
0.116895181650  209.910372010855  -249.278415858787  
0.116895181650  245.375110663982  -252.280058826946  
0.116895181650  286.831681334201  -249.466851493660  
0.116895181650  335.292414924956  -251.831193086664  
0.116895181650  391.940677484722  -247.417041012039  
0.116895181650  458.159766905449  -243.529803876837  
0.116895181650  535.566691770690  -242.820166905548  
0.116895181650  626.051657201482  -249.528206157358  
0.116895181650  731.824221907617  -241.054753770146  
0.116895181650  855.467253556569  -236.849633412051  
0.116895181650  1000.000000000000  -239.813729793489  

0.136644834930  0.100000000000  -303.255099397920  
0.136644834930  0.116895181650  -281.968164257280  
0.136644834930  0.136644834930  -306.076655625371  
0.136644834930  0.159731228006  -316.681374366859  
0.136644834930  0.186718109129  -308.459987842143  
0.136644834930  0.218264472840  -313.334715867981  
0.136644834930  0.255140652003  -312.319773485843  
0.136644834930  0.298247128622  -311.231526730290  
0.136644834930  0.348636522768  -306.614633326946  
0.136644834930  0.407539296587  -308.426927614036  
0.136644834930  0.476393801040  -306.787203586752  
0.136644834930  0.556881399095  -304.784406845295  
0.136644834930  0.650967523046  -307.644858353271  
0.136644834930  0.760949668546  -307.240125173390  
0.136644834930  0.889513497311  -308.029262605305  
0.136644834930  1.039798418481  -298.111885937035  
0.136644834930  1.215474250076  -297.929786976498  
0.136644834930  1.420830832534  -302.800619007422  
0.136644834930  1.660882782628  -299.290477788834  
0.136644834930  1.941491945744  -297.350037385236  
0.136644834930  2.269510536695  -298.757091092947  
0.136644834930  2.652948464432  -289.358959445881  
0.136644834930  3.101168926575  -295.018354093334  
0.136644834930  3.625117049989  -287.066683268573  
0.136644834930  4.237587160604  -282.378922243704  
0.136644834930  4.953535208959  -284.961138718408  
0.136644834930  5.790443980602  -286.737598472069  
0.136644834930  6.768750009459  -287.480991726807  
0.136644834930  7.912342618981  -285.694313623957  
0.136644834930  9.249147277217  -284.580816014181  
0.136644834930  10.811807510766  -279.103400110331  
0.136644834930  12.638482029343  -289.697080217462  
0.136644834930  14.773776525985  -277.059813489670  
0.136644834930  17.269832906594  -280.193506310870  
0.136644834930  20.187602546790  -276.467696102935  
0.136644834930  23.598334667822  -276.485246649899  
0.136644834930  27.585316176292  -281.946509933766  
0.136644834930  32.245905452964  -268.262058624407  
0.136644834930  37.693909753884  -267.038784897703  
0.136644834930  44.062364277736  -270.615843661083  
0.136644834930  51.506780761681  -270.439158716888  
0.136644834930  60.208944933361  -265.452285854763  
0.136644834930  70.381355549316  -272.653800397120  
0.136644834930  82.272413417005  -276.111698469779  
0.136644834930  96.172487111530  -257.724721171015  
0.136644834930  112.421003506209  -261.382529046367  
0.136644834930  131.414736261176  -253.588875452669  
0.136644834930  153.617494667183  -266.099763257954  
0.136644834930  179.571449437164  -254.873549062969  
0.136644834930  209.910372010855  -233.281035718643  
0.136644834930  245.375110663982  -244.195390834983  
0.136644834930  286.831681334201  -253.484971546009  
0.136644834930  335.292414924956  -250.052354937333  
0.136644834930  391.940677484722  -249.853758728568  
